pnl,class,account,sub_account,extra_info,accrual,accrual_day,accrual_month,accrual_year,hypothesis,scenario,backlog
Revenue,Services,,,,20000000,,,2024,,1 Growth,
Revenue,Subscription,,,,80000000,,,2024,,1 Growth,
Fixed Costs,Overhead,,,,-15000000,,,2024,,1 Growth,
Fixed Costs,Payroll,,,,-80000000,,,2024,,1 Growth,
Variable Cost,Royalties,,,,-3000000,,,2024,,1 Growth,
Variable Cost,Payroll,,,,-1000000,,,2024,,1 Growth,
Revenue,Services,,,,19000000,,,2024,,2 Neutral,
Revenue,Subscription,,,,75000000,,,2024,,2 Neutral,
Fixed Costs,Overhead,,,,-12000000,,,2024,,2 Neutral,
Fixed Costs,Payroll,,,,-78000000,,,2024,,2 Neutral,
Variable Cost,Royalties,,,,-3000000,,,2024,,2 Neutral,
Variable Cost,Payroll,,,,-1000000,,,2024,,2 Neutral,
Revenue,Services,,,,15000000,,,2024,,3 Cost Cut,
Revenue,Subscription,,,,75000000,,,2024,,3 Cost Cut,
Fixed Costs,Overhead,,,,-10000000,,,2024,,3 Cost Cut,
Fixed Costs,Payroll,,,,-70000000,,,2024,,3 Cost Cut,
Variable Cost,Royalties,,,,-3000000,,,2024,,3 Cost Cut,
Variable Cost,Payroll,,,,-1000000,,,2024,,3 Cost Cut,
Revenue,Services,,,,18000000,,,2023,,1 Growth,
Revenue,Subscription,,,,73000000,,,2023,,1 Growth,
Fixed Costs,Overhead,,,,-9000000,,,2023,,1 Growth,
Fixed Costs,Payroll,,,,-75000000,,,2023,,1 Growth,
Variable Cost,Royalties,,,,-2500000,,,2023,,1 Growth,
Variable Cost,Payroll,,,,-700000,,,2023,,1 Growth,
Revenue,Services,,,,18000000,,,2023,,2 Neutral,
Revenue,Subscription,,,,73000000,,,2023,,2 Neutral,
Fixed Costs,Overhead,,,,-9000000,,,2023,,2 Neutral,
Fixed Costs,Payroll,,,,-75000000,,,2023,,2 Neutral,
Variable Cost,Royalties,,,,-2500000,,,2023,,2 Neutral,
Variable Cost,Payroll,,,,-700000,,,2023,,2 Neutral,
Revenue,Services,,,,18000000,,,2023,,3 Cost Cut,
Revenue,Subscription,,,,73000000,,,2023,,3 Cost Cut,
Fixed Costs,Overhead,,,,-9000000,,,2023,,3 Cost Cut,
Fixed Costs,Payroll,,,,-75000000,,,2023,,3 Cost Cut,
Variable Cost,Royalties,,,,-2500000,,,2023,,3 Cost Cut,
Variable Cost,Payroll,,,,-700000,,,2023,,3 Cost Cut,