Income / Expenditure,Category,Subcategory,Year,Month,Day,Date,Description,Amount,Scenarios
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,1,1,01/01/2022,Cigarettes,9.3,"b,ss,sm,so"
Income,Current Income,Salary,2022,1,1,01/01/2022,Salary,1930,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Housing,2022,1,1,01/01/2022,House rent (with charges),691.16,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,1,1,01/01/2022,Energy supply bill,58.6,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,1,1,01/01/2022,Car loan,48.37,"b,ss,sc,sm,so,sco,smc,smco"
Income,Potential additional income,Extra hour salary,2022,1,1,01/01/2022,Salary (+8 hours),0,
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,2,01/02/2022,Food delivery,15.81,"b,ss,sc,so,sco"
Expenditure,Minimum expenditure,Transportation,2022,1,2,01/02/2022,Public transport subscription,32.55,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Transportation,2022,1,3,01/03/2022,Car gas,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,1,3,01/03/2022,ATM withdrawal,40,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,1,4,01/04/2022,Credit card monthly fee,6.97,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,1,5,01/05/2022,Savings Account,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Food,2022,1,6,01/06/2022,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,1,6,01/06/2022,Internet subscription,30,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,1,6,01/06/2022,Telephone subscription,15,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,1,6,01/06/2022,Museum ticket,13.95,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,1,6,01/06/2022,Restaurant,43.72,"b,ss,sc,sm,smc"
Expenditure,Sport & Game & misc,Miscellaneous,2022,1,6,01/06/2022,Cigarettes,10,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,8,01/08/2022,Video streaming platform subscription,9,"b,ss,sc,so,sco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,9,01/09/2022,Music streaming platform subscription,9.3,"b,ss,sc,so,sco"
Expenditure,Sport & Game & misc,Personal spending,2022,1,10,01/10/2022,Fitness subscription,36.27,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,1,11,01/11/2022,Health insurance,42,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Healthcare,2022,1,12,01/12/2022,Pharmacy,7,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,1,12,01/12/2022,Car insurance,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Recreation & Entertainment,2022,1,12,01/12/2022,Sports betting,10,"b,sc,sm,so,sco,smc,smco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,1,13,1/13/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,1,13,1/13/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,1,13,1/13/22,Movie theater,12.09,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,1,13,1/13/22,Restaurant,43.72,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Miscellaneous,2022,1,13,1/13/22,Taxi,27.9,"b,ss,sc,sm,smc"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,17,1/17/22,Food delivery,15.81,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Recreation & Entertainment,2022,1,18,1/18/22,Afterwork bar,17.67,"b,ss,sm,so"
Expenditure,Media & Clothes & Food Delivery,Personal spending,2022,1,19,1/19/22,Clothes shop,50.23,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,1,20,1/20/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,1,20,1/20/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Other essential budget,2022,1,20,1/20/22,Pet shop,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,1,20,1/20/22,Liability insurance,12,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,1,24,1/24/22,ATM withdrawal,27.9,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,25,1/25/22,Book shop,9.3,"b,ss,sc,so,sco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,1,26,1/26/22,Newspaper subscription,9.3,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,1,27,1/27/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,1,27,1/27/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,1,28,1/28/22,Savings for unexpected expenditure,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,2,1,2/1/22,Cigarettes,9.3,"b,ss,sm,so"
Income,Current Income,Salary,2022,2,1,2/1/22,Salary,1930,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Housing,2022,2,1,2/1/22,House rent (with charges),691.16,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,2,1,2/1/22,Energy supply bill,58.6,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,2,1,2/1/22,Car loan,52,"b,ss,sc,sm,so,sco,smc,smco"
Income,Potential additional income,Extra hour salary,2022,2,1,2/1/22,Salary (+8 hours),0,
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,2,2,2/2/22,Food delivery,21.39,"b,ss,sc,so,sco"
Expenditure,Minimum expenditure,Transportation,2022,2,2,2/2/22,Public transport subscription,32.55,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Transportation,2022,2,3,2/3/22,Car gas,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,2,3,2/3/22,ATM withdrawal,30,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,2,4,2/4/22,Credit card monthly fee,6.97,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,2,5,2/5/22,Savings Account,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Food,2022,2,6,2/6/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,2,6,2/6/22,Internet subscription,30,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,2,6,2/6/22,Telephone subscription,15,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,2,6,2/6/22,Museum ticket,11.16,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,2,6,2/6/22,Restaurant,50.23,"b,ss,sc,sm,smc"
Expenditure,Sport & Game & misc,Miscellaneous,2022,2,6,2/6/22,Cigarettes,9.3,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,2,8,2/8/22,Video streaming platform subscription,9,"b,ss,sc,so,sco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,2,9,2/9/22,Music streaming platform subscription,10,"b,ss,sc,so,sco"
Expenditure,Sport & Game & misc,Personal spending,2022,2,10,2/10/22,Fitness subscription,36.27,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,2,11,2/11/22,Health insurance,42,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Healthcare,2022,2,12,2/12/22,Pharmacy,9.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,2,12,2/12/22,Car insurance,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Recreation & Entertainment,2022,2,12,2/12/22,Sports betting,25,"b,sc,sm,so,sco,smc,smco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,2,13,2/13/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,2,13,2/13/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,2,13,2/13/22,Movie theater,12.09,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,2,13,2/13/22,Restaurant,52.09,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Miscellaneous,2022,2,13,2/13/22,Taxi,24.18,"b,ss,sc,sm,smc"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,2,17,2/17/22,Food delivery,13,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Recreation & Entertainment,2022,2,18,2/18/22,Afterwork bar,21.39,"b,ss,sm,so"
Expenditure,Media & Clothes & Food Delivery,Personal spending,2022,2,19,2/19/22,Clothes shop,139.53,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,2,20,2/20/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,2,20,2/20/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Other essential budget,2022,2,20,2/20/22,Pet shop,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,2,20,2/20/22,Liability insurance,12,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,2,24,2/24/22,ATM withdrawal,20,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,2,26,2/26/22,Newspaper subscription,9.3,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,2,27,2/27/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,2,27,2/27/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,2,28,2/28/22,Savings for unexpected expenditure,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,3,1,3/1/22,Cigarettes,9.3,"b,ss,sm,so"
Income,Current Income,Salary,2022,3,1,3/1/22,Salary,1930,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Housing,2022,3,1,3/1/22,House rent (with charges),691.16,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,3,1,3/1/22,Energy supply bill,58.6,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,3,1,3/1/22,Car loan,48.37,"b,ss,sc,sm,so,sco,smc,smco"
Income,Potential additional income,Extra hour salary,2022,3,1,3/1/22,Salary (+8 hours),0,
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,2,3/2/22,Food delivery,15.81,"b,ss,sc,so,sco"
Expenditure,Minimum expenditure,Transportation,2022,3,2,3/2/22,Public transport subscription,32.55,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Transportation,2022,3,3,3/3/22,Car gas,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,3,3,3/3/22,ATM withdrawal,30,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,3,4,3/4/22,Credit card monthly fee,6.97,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Saving & Debt payments,2022,3,5,3/5/22,Savings Account,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Food,2022,3,6,3/6/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,3,6,3/6/22,Internet subscription,30,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Utilities,2022,3,6,3/6/22,Telephone subscription,15,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,3,6,3/6/22,Restaurant,38.13,"b,ss,sc,sm,smc"
Expenditure,Sport & Game & misc,Miscellaneous,2022,3,6,3/6/22,Cigarettes,9.3,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,8,3/8/22,Video streaming platform subscription,9,"b,ss,sc,so,sco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,9,3/9/22,Music streaming platform subscription,10,"b,ss,sc,so,sco"
Expenditure,Sport & Game & misc,Personal spending,2022,3,10,3/10/22,Fitness subscription,36.27,"b,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,3,11,3/11/22,Health insurance,42,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Healthcare,2022,3,12,3/12/22,Pharmacy,9.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,3,12,3/12/22,Car insurance,50,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Recreation & Entertainment,2022,3,12,3/12/22,Sports betting,15,"b,sc,sm,so,sco,smc,smco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,3,13,3/13/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,3,13,3/13/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,3,13,3/13/22,Concert ticket,41.86,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Recreation & Entertainment,2022,3,13,3/13/22,Restaurant,36.27,"b,ss,sc,sm,smc"
Expenditure,Outing Lifestyle,Miscellaneous,2022,3,13,3/13/22,Taxi,37.2,"b,ss,sc,sm,smc"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,17,3/17/22,Food delivery,12.09,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Recreation & Entertainment,2022,3,18,3/18/22,Cafe,11.16,"b,ss,sm,so"
Expenditure,Outing Lifestyle,Personal spending,2022,3,19,3/19/22,Travel tickets,65.11,"b,ss,sc,sm,smc"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,3,20,3/20/22,Cigarettes,9.3,"b,ss,sm,so"
Expenditure,Minimum expenditure,Food,2022,3,20,3/20/22,Supermarket,49.3,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Other essential budget,2022,3,20,3/20/22,Pet shop,46.51,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Minimum expenditure,Insurance,2022,3,20,3/20/22,Liability insurance,11.16,"b,ss,sc,sm,so,sco,smc,smco"
Expenditure,Sport & Game & misc,Miscellaneous,2022,3,24,3/24/22,ATM withdrawal,40,"b,sc,sm,so,sco,smc,smco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,25,3/25/22,Book shop,16.74,"b,ss,sc,so,sco"
Expenditure,Media & Clothes & Food Delivery,Recreation & Entertainment,2022,3,26,3/26/22,Newspaper subscription,9.3,"b,ss,sc,so,sco"
Expenditure,Cigarettes & Alcohol,Miscellaneous,2022,3,27,3/27/22,Cigarettes,9.3,"b,ss,sm,so"
